322,250243.888,3688206.595,126.3175573,33.30405183
323,250244.084,3688206.609,126.3175594,33.304052
324,250244.2833,3688206.603,126.3175615,33.304052
325,250244.4766,3688206.58,126.3175636,33.30405183
326,250244.6711,3688206.556,126.3175657,33.30405167
327,250244.8658,3688206.533,126.3175678,33.3040515
328,250245.0556,3688206.491,126.3175698,33.30405117
329,250245.2439,3688206.441,126.3175719,33.30405075
330,250245.4299,3688206.381,126.3175739,33.30405026
331,250245.6119,3688206.31,126.3175759,33.30404967
332,250245.7785,3688206.213,126.3175777,33.30404883
333,250245.9451,3688206.118,126.3175795,33.30404801
334,250246.096,3688205.996,126.3175811,33.30404694
335,250246.2496,3688205.876,126.3175828,33.3040459
336,250246.3875,3688205.735,126.3175843,33.30404467
337,250246.5144,3688205.585,126.3175857,33.30404334
338,250246.631,3688205.428,126.317587,33.30404195
339,250246.7342,3688205.261,126.3175882,33.30404048
340,250246.8204,3688205.087,126.3175892,33.30403893
341,250246.907,3688204.913,126.3175901,33.30403738
342,250247.0092,3688204.745,126.3175913,33.30403588
343,250247.1016,3688204.572,126.3175923,33.30403435
344,250247.193,3688204.399,126.3175933,33.30403281
345,250247.2639,3688204.217,126.3175942,33.30403119
346,250247.3441,3688204.041,126.3175951,33.30402962
347,250247.421,3688203.86,126.3175959,33.30402801
348,250247.4764,3688203.671,126.3175966,33.30402632
349,250247.5347,3688203.482,126.3175973,33.30402463
350,250247.5768,3688203.291,126.3175978,33.30402292
351,250247.6199,3688203.097,126.3175983,33.30402118
352,250247.652,3688202.903,126.3175987,33.30401944
353,250247.665,3688202.706,126.3175989,33.30401767
354,250247.6714,3688202.51,126.317599,33.3040159
355,250247.6666,3688202.313,126.317599,33.30401413
356,250247.6394,3688202.121,126.3175988,33.30401239
357,250247.6096,3688201.928,126.3175985,33.30401065
358,250247.5413,3688201.742,126.3175978,33.30400895
359,250247.498,3688201.55,126.3175974,33.30400721
360,250247.4546,3688201.357,126.317597,33.30400546
361,250247.3884,3688201.175,126.3175963,33.30400381
362,250247.3334,3688201.009,126.3175958,33.3040023
363,250247.2883,3688200.831,126.3175954,33.30400069
364,250247.2288,3688200.66,126.3175948,33.30399913
365,250247.1836,3688200.469,126.3175943,33.3039974
366,250247.1639,3688200.293,126.3175942,33.30399581
367,250247.1466,3688200.102,126.317594,33.30399409
368,250247.1079,3688199.927,126.3175937,33.3039925
369,250247.1021,3688199.75,126.3175937,33.3039909
370,250247.0827,3688199.553,126.3175935,33.30398913
371,250247.0531,3688199.364,126.3175932,33.30398742
372,250247.0114,3688199.207,126.3175928,33.30398599
373,250247.0067,3688199.015,126.3175928,33.30398426
374,250246.9862,3688198.819,126.3175927,33.30398249
375,250246.9811,3688198.62,126.3175927,33.30398069
376,250246.9938,3688198.43,126.3175929,33.30397899
377,250247.0308,3688198.239,126.3175933,33.30397727
378,250247.0702,3688198.051,126.3175938,33.30397559
379,250247.135,3688197.866,126.3175945,33.30397394
380,250247.2146,3688197.706,126.3175954,33.30397251
381,250247.3014,3688197.53,126.3175964,33.30397095
382,250247.4225,3688197.389,126.3175977,33.30396971
383,250247.5588,3688197.254,126.3175992,33.30396852
384,250247.6858,3688197.113,126.3176006,33.30396728
385,250247.828,3688197.004,126.3176022,33.30396633
386,250247.9565,3688196.877,126.3176036,33.30396522
387,250248.126,3688196.777,126.3176055,33.30396436
388,250248.2664,3688196.671,126.317607,33.30396343
389,250248.409,3688196.564,126.3176086,33.3039625
390,250248.5611,3688196.467,126.3176102,33.30396166
391,250248.7068,3688196.356,126.3176118,33.3039607
392,250248.8531,3688196.256,126.3176134,33.30395983
393,250249.0229,3688196.178,126.3176152,33.30395917
394,250249.202,3688196.107,126.3176172,33.30395857
395,250249.3857,3688196.03,126.3176192,33.30395791
396,250249.5753,3688195.977,126.3176212,33.30395748
397,250249.7637,3688195.933,126.3176233,33.30395713
398,250249.959,3688195.904,126.3176254,33.30395691
399,250250.1426,3688195.84,126.3176274,33.30395638
400,250250.3367,3688195.809,126.3176294,33.30395615
401,250250.5143,3688195.77,126.3176314,33.30395583
402,250250.6887,3688195.714,126.3176333,33.30395537
403,250250.882,3688195.686,126.3176353,33.30395517
404,250251.0751,3688195.663,126.3176374,33.303955
405,250251.2683,3688195.635,126.3176395,33.30395479
406,250251.4599,3688195.597,126.3176416,33.3039545
407,250251.6407,3688195.593,126.3176435,33.3039545
408,250251.8269,3688195.569,126.3176455,33.30395433
409,250252.0222,3688195.582,126.3176476,33.30395449
