INDEX,UTM_X,UTM_Y,LON,LAT
248.0000000000000,250236.0537767224010,3688210.4597228346400,126.3174721481540,33.30408484
249.0000000000000,250235.9733166525830,3688210.2819625414000,126.3174713341074,33.30408322
250.0000000000000,250235.8699686973410,3688210.1126906261800,126.3174702718933,33.30408167
251.0000000000000,250235.7873298633200,3688209.9321628864900,126.3174694355357,33.30408002
252.0000000000000,250235.6803515983620,3688209.7658656449100,126.3174683333330,33.3040785
253.0000000000000,250235.5725924969590,3688209.6040260661400,126.3174672218362,33.30407702
254.0000000000000,250235.4958870021510,3688209.4219027981200,126.3174664493580,33.30407536
255.0000000000000,250235.4121001965540,3688209.2458968525800,126.3174655987085,33.30407375
256.0000000000000,250235.3385739034560,3688209.0639864518300,126.3174648592362,33.3040721
257.0000000000000,250235.2542541878060,3688208.8913015732600,126.3174640000000,33.30407052
258.0000000000000,250235.1568005868170,3688208.7279006308000,126.3174630012358,33.30406903
259.0000000000000,250235.1003254448290,3688208.5425249487200,126.3174624458661,33.30406734
260.0000000000000,250235.0654560685790,3688208.3478344958300,126.3174621269845,33.30406558
261.0000000000000,250235.0184694730260,3688208.1585165346100,126.3174616749634,33.30406386
262.0000000000000,250234.9971549574400,3688207.9635101207600,126.3174615000000,33.3040621
263.0000000000000,250234.9914585398800,3688207.7719290633700,126.3174614917035,33.30406037
264.0000000000000,250235.0022851165850,3688207.5734793362200,126.3174616666670,33.30405859
265.0000000000000,250235.0378834289440,3688207.3786802734300,126.3174621010692,33.30405684
266.0000000000000,250235.0899824822260,3688207.1957225520200,126.3174627088149,33.30405521
267.0000000000000,250235.1506812539590,3688207.0137456529800,126.3174634099018,33.30405358
268.0000000000000,250235.2451598022300,3688206.8420567680200,126.3174644708455,33.30405206
269.0000000000000,250235.3710771684120,3688206.6942131007100,126.3174658623858,33.30405075
270.0000000000000,250235.4815142562430,3688206.5376640209000,126.3174670901848,33.30404937
271.0000000000000,250235.6090836244110,3688206.4037017826900,126.3174684969685,33.30404819
272.0000000000000,250235.7566162367290,3688206.2764186142000,126.3174701150961,33.30404708
273.0000000000000,250235.8996552802560,3688206.1520752413200,126.3174716842284,33.30404599
274.0000000000000,250236.0457715688390,3688206.0231267302300,126.3174732874516,33.30404486
275.0000000000000,250236.1929471537290,3688205.8961708373400,126.3174749016843,33.30404375
